time,type,local time,latitude,longitude
20130101_00, DB,20130101_00,5.0,140.7
20130101_06, DB,20130101_06,5.0,138.5
20130101_12, DB,20130101_12,5.0,136.3
20130101_18, DB,20130101_18,5.7,134.2
20130102_00, DB,20130102_00,6.4,132.1
20130102_06, DB,20130102_06,7.0,130.0
20130102_12, DB,20130102_12,7.8,127.9
20130102_18, DB,20130102_18,8.3,126.0
20130103_00, DB,20130103_00,8.7,123.9
20130103_06, DB,20130103_06,9.0,121.4
20130103_12, TD,20130103_12,8.5,119.6
20130103_18, TD,20130103_18,8.5,118.1
20130104_00, TS,20130104_00,8.7,116.6
20130104_06, TS,20130104_06,8.5,115.3
20130104_12, TS,20130104_12,8.2,114.2
20130104_18, TS,20130104_18,8.3,113.2
20130105_00, TS,20130105_00,7.9,112.2
20130105_06, TS,20130105_06,7.8,111.4
20130105_12, TS,20130105_12,7.6,110.8
20130105_18, TS,20130105_18,7.3,110.3
20130106_00, TS,20130106_00,7.5,110.4
20130106_06, TS,20130106_06,7.6,109.8
20130106_12, TS,20130106_12,7.2,109.2
20130106_18, TS,20130106_18,6.6,108.8
20130107_00, TS,20130107_00,6.5,108.5
20130107_06, TS,20130107_06,6.4,108.4
20130107_12, TD,20130107_12,6.1,108.4
20130107_18, TD,20130107_18,5.8,108.5
20130108_00, TD,20130108_00,5.9,108.6
20130219_18, DB,20130219_18,6.8,121.9
20130220_00, DB,20130220_00,7.1,121.5
20130220_06, DB,20130220_06,7.4,120.7
20130220_12, DB,20130220_12,7.7,119.5
20130220_18, DB,20130220_18,7.9,118.3
20130221_00, DB,20130221_00,8.1,116.5
20130221_06, DB,20130221_06,8.2,114.4
20130221_12, DB,20130221_12,8.0,112.0
20130221_18, TD,20130221_18,6.6,109.7
20130222_00, TD,20130222_00,5.7,109.4
20130222_06, TD,20130222_06,5.3,109.8
20130222_12, DB,20130222_12,4.7,110.0
20130222_18, DB,20130222_18,4.3,109.7
20130223_00, DB,20130223_00,3.9,109.3
20130223_06, DB,20130223_06,3.4,109.5
20130607_12, DB,20130607_12,16.3,129.9
20130607_18, DB,20130607_18,16.6,129.2
20130608_00, DB,20130608_00,17.2,129.0
20130608_06, TD,20130608_06,17.5,129.6
20130608_12, TD,20130608_12,17.8,130.2
20130608_18, TS,20130608_18,19.0,130.9
20130609_00, TS,20130609_00,20.0,131.2
20130609_06, TS,20130609_06,20.6,131.7
20130609_12, TS,20130609_12,21.1,132.3
20130609_18, TS,20130609_18,21.8,133.2
20130610_00, TS,20130610_00,22.6,133.5
20130610_06, TS,20130610_06,23.5,134.4
20130610_12, TS,20130610_12,24.6,135.3
20130610_18, TS,20130610_18,26.2,135.9
20130611_00, TS,20130611_00,27.8,136.3
20130611_00, TS,20130611_00,27.8,136.3
20130611_06, TS,20130611_06,29.3,136.7
20130611_12, TS,20130611_12,30.4,136.9
20130611_18, TS,20130611_18,30.7,137.0
20130612_00, TS,20130612_00,30.9,137.2
20130612_06, TD,20130612_06,30.9,138.0
20130612_12, TD,20130612_12,31.2,138.9
20130612_18, TD,20130612_18,31.9,139.5
20130613_00, TD,20130613_00,32.3,139.7
20130613_06, SD,20130613_06,32.6,139.4
20130613_12, SD,20130613_12,32.5,139.0
20130613_18, EX,20130613_18,32.1,138.8
20130614_00, EX,20130614_00,31.0,139.3
20130614_06, EX,20130614_06,30.7,139.6
20130614_12, EX,20130614_12,30.7,139.8
20130614_18, EX,20130614_18,30.8,140.0
20130615_00, EX,20130615_00,30.9,140.2
20130615_06, EX,20130615_06,30.8,140.5
20130616_06, DB,20130616_06,11.6,127.8
20130616_12, DB,20130616_12,12.1,127.5
20130616_18, DB,20130616_18,12.6,127.2
