level,value,number_of_labels,label
400.0,0.0,3,7
400.0,0.0,3,11
400.0,0.0,3,39
400.0,0.1,1,8
400.0,0.2,2,9
400.0,0.2,2,20
400.0,0.3,3,4
400.0,0.3,3,7
400.0,0.3,3,17
400.0,0.4,3,4
400.0,0.4,3,8
400.0,0.4,3,19
400.0,0.5,3,5
400.0,0.5,3,9
400.0,0.5,3,20
400.0,0.6,4,6
400.0,0.6,4,10
400.0,0.6,4,23
400.0,0.6,4,25
400.0,0.7,2,5
400.0,0.7,2,23
400.0,0.8,2,3
400.0,0.8,2,33
400.0,0.9,3,11
400.0,0.9,3,19
400.0,0.9,3,27
400.0,1.0,3,7
400.0,1.0,3,14
400.0,1.0,3,22
400.0,1.1,2,16
400.0,1.1,2,25
400.0,1.2,7,7
400.0,1.2,7,10
400.0,1.2,7,15
400.0,1.2,7,21
400.0,1.2,7,26
400.0,1.2,7,29
400.0,1.2,7,45
400.0,1.3,5,12
400.0,1.3,5,22
400.0,1.3,5,36
400.0,1.3,5,39
400.0,1.3,5,54
400.0,1.4,4,18
400.0,1.4,4,27
400.0,1.4,4,29
400.0,1.4,4,48
400.0,1.5,4,17
400.0,1.5,4,30
400.0,1.5,4,44
400.0,1.5,4,46
400.0,1.6,6,9
400.0,1.6,6,20
400.0,1.6,6,34
400.0,1.6,6,37
400.0,1.6,6,50
400.0,1.6,6,51
400.0,1.7,5,8
400.0,1.7,5,19
400.0,1.7,5,32
400.0,1.7,5,35
400.0,1.7,5,47
400.0,1.8,5,8
400.0,1.8,5,23
400.0,1.8,5,34
400.0,1.8,5,37
400.0,1.8,5,52
400.0,1.9,5,8
400.0,1.9,5,22
400.0,1.9,5,27
400.0,1.9,5,34
400.0,1.9,5,54
400.0,2.0,6,6
400.0,2.0,6,17
400.0,2.0,6,21
400.0,2.0,6,28
400.0,2.0,6,41
400.0,2.0,6,51
400.0,2.1,7,5
400.0,2.1,7,10
400.0,2.1,7,11
400.0,2.1,7,13
400.0,2.1,7,23
400.0,2.1,7,33
400.0,2.1,7,42
400.0,2.2,7,5
400.0,2.2,7,10
400.0,2.2,7,11
