level,value,number_of_labels,label 
1000.000, 0.00,4,7  
1000.000, 0.00,4,10  
1000.000, 0.00,4,11  
1000.000, 0.00,4,27  
900.000, 0.00,2,14  
900.000, 0.00,2,15  
850.000, 0.00,3,23  
850.000, 0.00,3,25  
850.000, 0.00,3,26  
800.000, 0.00,4,10  
800.000, 0.00,4,26  
800.000, 0.00,4,32  
800.000, 0.00,4,43  
750.000, 0.00,2,24  
750.000, 0.00,2,31  
700.000, 0.00,4,7  
700.000, 0.00,4,11  
700.000, 0.00,4,18  
700.000, 0.00,4,23  
650.000, 0.00,2,17  
650.000, 0.00,2,23  
600.000, 0.00,1,15  
500.000, 0.00,3,12  
500.000, 0.00,3,20  
500.000, 0.00,3,33  
400.000, 0.00,3,6  
400.000, 0.00,3,12  
400.000, 0.00,3,14  
300.000, 0.00,10,12  
300.000, 0.00,10,20  
300.000, 0.00,10,24  
300.000, 0.00,10,29  
300.000, 0.00,10,44  
300.000, 0.00,10,48  
300.000, 0.00,10,70  
300.000, 0.00,10,81  
300.000, 0.00,10,86  
300.000, 0.00,10,89  
1000.000, 0.10,4,7  
1000.000, 0.10,4,10  
1000.000, 0.10,4,11  
1000.000, 0.10,4,31  
900.000, 0.10,3,7  
900.000, 0.10,3,15  
900.000, 0.10,3,21  
850.000, 0.10,6,11  
850.000, 0.10,6,19  
850.000, 0.10,6,23  
850.000, 0.10,6,24  
850.000, 0.10,6,25  
850.000, 0.10,6,29  
800.000, 0.10,4,8  
800.000, 0.10,4,23  
800.000, 0.10,4,30  
800.000, 0.10,4,34  
750.000, 0.10,3,25  
750.000, 0.10,3,30  
750.000, 0.10,3,33  
700.000, 0.10,3,12  
700.000, 0.10,3,15  
700.000, 0.10,3,30  
650.000, 0.10,1,21  
600.000, 0.10,1,21  
500.000, 0.10,3,8  
500.000, 0.10,3,21  
500.000, 0.10,3,32  
400.000, 0.10,5,3  
400.000, 0.10,5,10  
400.000, 0.10,5,12  
400.000, 0.10,5,62  
400.000, 0.10,5,69  
300.000, 0.10,11,11  
300.000, 0.10,11,23  
300.000, 0.10,11,27  
300.000, 0.10,11,39  
300.000, 0.10,11,40  
300.000, 0.10,11,43  
300.000, 0.10,11,59  
300.000, 0.10,11,68  
300.000, 0.10,11,73  
300.000, 0.10,11,80  
300.000, 0.10,11,81  
1000.000, 0.20,5,7  
1000.000, 0.20,5,9  
1000.000, 0.20,5,12  
1000.000, 0.20,5,13  
1000.000, 0.20,5,32  
900.000, 0.20,3,7  
900.000, 0.20,3,14  
900.000, 0.20,3,18  
850.000, 0.20,5,11  
850.000, 0.20,5,22  
850.000, 0.20,5,28  
850.000, 0.20,5,34  
850.000, 0.20,5,39  
800.000, 0.20,3,7  
800.000, 0.20,3,16  
800.000, 0.20,3,23  
750.000, 0.20,3,8  
750.000, 0.20,3,25  
750.000, 0.20,3,28  
700.000, 0.20,3,7  
700.000, 0.20,3,9  
700.000, 0.20,3,31  
600.000, 0.20,1,9  
500.000, 0.20,5,8  
500.000, 0.20,5,20  
500.000, 0.20,5,28  
500.000, 0.20,5,36  
500.000, 0.20,5,48  
400.000, 0.20,8,6  
400.000, 0.20,8,14  
400.000, 0.20,8,16  
400.000, 0.20,8,66  
400.000, 0.20,8,67  
400.000, 0.20,8,77  
400.000, 0.20,8,82  
400.000, 0.20,8,84  
300.000, 0.20,11,8  
300.000, 0.20,11,21  
300.000, 0.20,11,27  
300.000, 0.20,11,38  
300.000, 0.20,11,39  
300.000, 0.20,11,44  
300.000, 0.20,11,55  
300.000, 0.20,11,62  
300.000, 0.20,11,78  
300.000, 0.20,11,79  
300.000, 0.20,11,81  
1000.000, 0.30,4,6  
1000.000, 0.30,4,10  
1000.000, 0.30,4,11  
1000.000, 0.30,4,12  
900.000, 0.30,2,7  
900.000, 0.30,2,15  
850.000, 0.30,6,7  
850.000, 0.30,6,12  
850.000, 0.30,6,20  
850.000, 0.30,6,23  
850.000, 0.30,6,31  
850.000, 0.30,6,35  
800.000, 0.30,5,6  
800.000, 0.30,5,7  
800.000, 0.30,5,16  
800.000, 0.30,5,22  
800.000, 0.30,5,26  
750.000, 0.30,5,7  
750.000, 0.30,5,10  
750.000, 0.30,5,32  
750.000, 0.30,5,33  
750.000, 0.30,5,35  
700.000, 0.30,2,5  
700.000, 0.30,2,24  
650.000, 0.30,1,18  
600.000, 0.30,1,8  
500.000, 0.30,5,8  
500.000, 0.30,5,20  
500.000, 0.30,5,24  
500.000, 0.30,5,25  
500.000, 0.30,5,40  
400.000, 0.30,7,7  
400.000, 0.30,7,15  
400.000, 0.30,7,20  
400.000, 0.30,7,25  
400.000, 0.30,7,74  
400.000, 0.30,7,86  
400.000, 0.30,7,93  
300.000, 0.30,11,7  
300.000, 0.30,11,26  
300.000, 0.30,11,34  
300.000, 0.30,11,39  
300.000, 0.30,11,48  
300.000, 0.30,11,53  
300.000, 0.30,11,63  
300.000, 0.30,11,74  
300.000, 0.30,11,86  
300.000, 0.30,11,87  
300.000, 0.30,11,90  
1000.000, 0.40,5,6  
1000.000, 0.40,5,10  
1000.000, 0.40,5,11  
1000.000, 0.40,5,14  
1000.000, 0.40,5,15  
900.000, 0.40,4,5  
900.000, 0.40,4,9  
900.000, 0.40,4,22  
900.000, 0.40,4,28  
850.000, 0.40,6,5  
850.000, 0.40,6,9  
850.000, 0.40,6,10  
850.000, 0.40,6,18  
850.000, 0.40,6,21  
850.000, 0.40,6,26  
800.000, 0.40,6,6  
800.000, 0.40,6,16  
800.000, 0.40,6,17  
800.000, 0.40,6,29  
800.000, 0.40,6,34  
800.000, 0.40,6,40  
750.000, 0.40,5,3  
750.000, 0.40,5,6  
750.000, 0.40,5,7  
750.000, 0.40,5,25  
750.000, 0.40,5,33  
700.000, 0.40,2,4  
700.000, 0.40,2,20  
650.000, 0.40,4,5  
650.000, 0.40,4,9  
650.000, 0.40,4,18  
650.000, 0.40,4,24  
600.000, 0.40,2,6  
600.000, 0.40,2,10  
500.000, 0.40,3,8  
500.000, 0.40,3,28  
500.000, 0.40,3,45  
400.000, 0.40,7,13  
400.000, 0.40,7,20  
400.000, 0.40,7,25  
400.000, 0.40,7,26  
400.000, 0.40,7,30  
400.000, 0.40,7,67  
400.000, 0.40,7,80  
300.000, 0.40,10,8  
300.000, 0.40,10,27  
300.000, 0.40,10,36  
300.000, 0.40,10,43  
300.000, 0.40,10,56  
300.000, 0.40,10,70  
300.000, 0.40,10,78  
300.000, 0.40,10,89  
300.000, 0.40,10,90  
300.000, 0.40,10,93  
1000.000, 0.50,4,5  
1000.000, 0.50,4,8  
1000.000, 0.50,4,11  
1000.000, 0.50,4,13  
900.000, 0.50,5,5  
900.000, 0.50,5,9  
900.000, 0.50,5,11  
900.000, 0.50,5,18  
900.000, 0.50,5,23  
850.000, 0.50,3,5  
850.000, 0.50,3,22  
850.000, 0.50,3,28  
800.000, 0.50,7,6  
800.000, 0.50,7,17  
800.000, 0.50,7,18  
800.000, 0.50,7,33  
800.000, 0.50,7,34  
800.000, 0.50,7,36  
800.000, 0.50,7,43  
750.000, 0.50,6,3  
750.000, 0.50,6,5  
750.000, 0.50,6,8  
750.000, 0.50,6,11  
750.000, 0.50,6,22  
750.000, 0.50,6,29  
700.000, 0.50,1,15  
650.000, 0.50,3,5  
650.000, 0.50,3,13  
650.000, 0.50,3,19  
600.000, 0.50,1,8  
500.000, 0.50,2,32  
500.000, 0.50,2,47  
400.000, 0.50,7,15  
400.000, 0.50,7,22  
400.000, 0.50,7,27  
400.000, 0.50,7,29  
400.000, 0.50,7,73  
400.000, 0.50,7,80  
400.000, 0.50,7,85  
300.000, 0.50,7,28  
300.000, 0.50,7,33  
300.000, 0.50,7,39  
300.000, 0.50,7,71  
300.000, 0.50,7,96  
300.000, 0.50,7,97  
300.000, 0.50,7,101  
1000.000, 0.60,5,4  
1000.000, 0.60,5,5  
1000.000, 0.60,5,9  
1000.000, 0.60,5,11  
1000.000, 0.60,5,12  
900.000, 0.60,7,4  
900.000, 0.60,7,8  
900.000, 0.60,7,9  
900.000, 0.60,7,10  
900.000, 0.60,7,24  
900.000, 0.60,7,33  
900.000, 0.60,7,36  
